TIPO	NOME	DIRETORIA	DEPENDENCIA ADMINISTRATIVA	CEU	ENDERECO	NUMERO	BAIRRO	CEP	TEL1	TEL2	SITUACAO	DISTRITO	LATITUDE	LONGITUDE	CIDADE	ESTADO	DDD	EMAIL	COMPLEMENTO
0	ISAIAS MARTINELLI GAMA ENGENHEIRO EM	SUZANO	MUNICIPAL		MARIA DE SOUZA ASSIS	36	PARQUE RESIDENCIAL NOVA AMERICA	8655765	47412309	NULL		SUZANO			SUZANO	SP	11	EMEFISAIAS@HOTMAIL.COM	RUA
0	HANS LUDWIG SCHMIDT EM	ITAPECERICA DA SERRA	MUNICIPAL		VAL PARAISO 	119	RECREIO CAMPESTRE	6856060	46677002	NULL		ITAPECERICA DA SERRA			ITAPECERICA DA SERRA	SP	11	EMHANS@ITAPECERICA.SP.GOV.BR	RUA
0	ARCELINO ALEXANDRE DE AQUINO EMEB	ITAQUAQUECETUBA	MUNICIPAL		PIO XII 	80	CIDADE KEMEL	8554320	46399909	NULL		POA			POA	SP	11	SMEPOA@IG.COM.BR	RUA
0	JOSE MARCELLO DE ALMEIDA PROFESSOR DOUTOR EMEB	SAO JOAO DA BOA VISTA	MUNICIPAL		RUA MANOEL DIOGO	SN	ESTACAO DA CASCATA	13890000	36496515	NULL		AGUAS DA PRATA			AGUAS DA PRATA	SP	19	EMEIFAS@GMAIL.COM	RUA
0	FELIPPE URTADO SERRATO EMEB	SAO JOAO DA BOA VISTA	MUNICIPAL		RUA XV DE NOVEMBRO	308	BAIRRO SAO ROQUE DA FARTURA	13895000	36491240	NULL		AGUAS DA PRATA			AGUAS DA PRATA	SP	19	EMEIFAS@GMAIL.COM	NULL
0	GABRIELA LOYOLLA DE ANDRADE PROFA EMEB	SAO JOAO DA BOA VISTA	MUNICIPAL		AVENIDA LUIZ TORRES DA SILVA	SN	FONTE PLATINA	13890000	36420250	NULL		AGUAS DA PRATA			AGUAS DA PRATA	SP	19	EMEIFAS@GMAIL.COM	RUA
0	ILSE NEUFELD D PORTO EMEMI	CAIEIRAS	MUNICIPAL		AMBROSINA DO CARMO BUONAGUIDE DONA	625	REGIAO CENTRAL	7700140	44459151	NULL		CAIEIRAS			CAIEIRAS	SP	11	MONICA.MORAES@CAIEIRAS.SP.GOV.BR	RUA
0	FLORESTAN FERNANDES EMEB	CAIEIRAS	MUNICIPAL		FRANCISCO MATHIAS 	SN	VILA BAZU	7840050	48007524	NULL		FRANCO DA ROCHA			FRANCO DA ROCHA	SP	11	EMEBFLORESTANFERNANDES@FRANCODAROCHA.SP.GOV.BR	RUA
0	D'ALMEIDA BARBOSA ESCOLA DA PREFEITURA DE GUARULHOS	GUARULHOS SUL	MUNICIPAL		ANANIAS JOSE DE VASCONCELOS 	162	GOPOUVA	7020290	24681763	NULL		GUARULHOS SUL			GUARULHOS	SP	11	NULL	RUA
0	AMADOR BUENO ESCOLA DA PREFEITURA DE GUARULHOS	GUARULHOS NORTE	MUNICIPAL		MARIA ELISA 	10	JARDIM TAMASSIA	7140130	24024067	NULL		GUARULHOS SUL			GUARULHOS	SP	11	NULL	RUA
0	ASSIS FERREIRA ESCOLA DA PRFEITURA DE GUARULHIOS	GUARULHOS NORTE	MUNICIPAL		JOSE MANOEL MARTINS DA CUNHA 	81	JARDIM SANTA BARBARA	7191293	24683649	NULL		GUARULHOS SUL			GUARULHOS	SP	11	NULL	RUA
0	CERQUEIRA CESAR ESCOLA DA PREFEITURA DE GUARULHOS	GUARULHOS SUL	MUNICIPAL		DOMINGOS FANGANIELLO 	171	VILA MELLIANI	7032060	24141590	24230420		GUARULHOS SUL			GUARULHOS	SP	11	NULL	AVENIDA
0	CRISPINIANO SOARES ESCOLA DA PREFEITURA DE GUARULHOS	GUARULHOS NORTE	MUNICIPAL		BOM CLIMA 	175	JARDIM BOM CLIMA	7196220	24681803	NULL		GUARULHOS SUL			GUARULHOS	SP	11	NULL	AVENIDA
0	JOSE MAURICIO DE OLIVEIRA DR ESCOLA DA PREFEITURA GUARULHOS	GUARULHOS NORTE	MUNICIPAL		ORIXA 	10 B	JARDIM DOS AFONSOS	7131410	24034646	NULL		GUARULHOS SUL			GUARULHOS	SP	11	NULL	RUA
0	FELICIO MARCONDES ESCOLA DA PREFEITURA DE GUARULHOS	GUARULHOS SUL	MUNICIPAL		RUA SOLDADO JOAO ALBERTO ALVES	216	TORRES TIBAGY	7060150	24591093	NULL		GUARULHOS SUL			GUARULHOS	SP	11	NULL	RUA
0	FRANCISCO ANTUNES FILHO ESCOLA DA PREFEITURA DE GUARULHOS	GUARULHOS SUL	MUNICIPAL		JOAO SAO	25	VILA SOROCABANA	7024130	24141216	NULL		GUARULHOS SUL			GUARULHOS	SP	11	NULL	RUA
0	GABRIEL JOSE ANTONIO CAPITAO ESCOLA DA PREFEITURA GUARULHOS	GUARULHOS NORTE	MUNICIPAL		EDSON DE SOUZA 	85	JARDIM FLOR DA MONTANHA	7097140	24591761	NULL		GUARULHOS SUL			GUARULHOS	SP	11	NULL	RUA
0	MOREIRA MATTOS ESCOLA DA PREFEITURA DE GUARULHOS	GUARULHOS SUL	MUNICIPAL		VITORINO FREIRE 	201	VILA GALVAO	7071040	24518936	NULL		GUARULHOS SUL			GUARULHOS	SP	11	NULL	RUA
0	JOAO ALVARES PADRE ESCOLA DA PREFEITURA DE GUARULHOS	GUARULHOS SUL	MUNICIPAL		ESTILAC LEAL 	325	VILA DAS PALMEIRAS	7013142	24406671	NULL		GUARULHOS SUL			GUARULHOS	SP	11	NULL	AVENIDA
0	MANUEL DE PAIVA PADRE ESCOLA DA PREFEITURA DE GUARULHOS	GUARULHOS SUL	MUNICIPAL		AVENIDA FRANCISCO CONDE	600	VILAL GALVAO	7070010	24512385	NULL		GUARULHOS SUL			GUARULHOS	SP	11	NULL	AVENIDA
0	SIQUEIRA BUENO ESCOLA DA PREFEITURA DE GUARULHOS	GUARULHOS SUL	MUNICIPAL		PRACA NOSSA SENHORA APARECIDA	324	JARDIM VILA GALVAO	7055000	24513031	NULL		GUARULHOS SUL			GUARULHOS	SP	11	NULL	PRACA
0	ARUJA EMEI UNIDADE I	JACAREI	MUNICIPAL		AMAZONAS	290	BARBOSAS	7402090	46521007	NULL		ARUJA			ARUJA	SP	11	EMEIA1.PLANALTO@ARUJA.SP.GOV.BR	
0	ANTONIO NACIF SALEMI EM 	MOGI DAS CRUZES	MUNICIPAL		MARIA OSORIO VALLE 	271	ALTO IPIRANGA	8730060	47241791	47382127		MOGI DAS CRUZES			MOGI DAS CRUZES	SP	11	NULL	AVENIDA
0	CARLOS ALBERTO LOPES EM 	MOGI DAS CRUZES	MUNICIPAL		CORREA NETO DOUTOR	366	VILA MOGILAR	8773500	46991213	47904065		MOGI DAS CRUZES			MOGI DAS CRUZES	SP	11	NULL	RUA
0	PAULO ROLIM LOUREIRO DOM EM	MOGI DAS CRUZES	MUNICIPAL		MOGI QUATINGA 	KM 24	QUATINGA	8751620	47210000	47218000		JUNDIAPEBA			MOGI DAS CRUZES	SP	11	NULL	ESTRADA
0	WALDIR PAIVA DE O FREITAS DR EM	MOGI DAS CRUZES	MUNICIPAL		GUTTERMANN 	151	BRAZ CUBAS	8740320	47241347	47947722		BRAS CUBAS			MOGI DAS CRUZES	SP	11	NULL	RUA
0	HENRIQUE PERES EMEI	MOGI DAS CRUZES	MUNICIPAL		APRIGIO DE OLIVEIRA 	336	VILA INDUSTRIAL	8770120	46991210	47910545		MOGI DAS CRUZES			MOGI DAS CRUZES	SP	11	NULL	RUA
0	MONTEIRO LOBATO EM	MOGI DAS CRUZES	MUNICIPAL		RUA ABEL JOSE DA SILVA	305	JARDIM PONTE GRANDE	8770500	47904601	NULL		MOGI DAS CRUZES			MOGI DAS CRUZES	SP	11	EM.LOBATO@SE-PMMC.COM.BR	RUA
0	JOAO CARDOSO PEREIRA PROF EM	MOGI DAS CRUZES	MUNICIPAL		ADOLPHO LUGOBONI 	77	VILA ANDRADE	8850230	47929000	47937611		SABAUNA			MOGI DAS CRUZES	SP	11	NULL	RUA
0	IRACEMA BRASIL DE SIQUEIRA PROFA EMEI	MOGI DAS CRUZES	MUNICIPAL		RICIERI JOSE MARCATTO 	686	VILA SUISSA	8810020	34271687	47927625		CEZAR DE SOUZA			MOGI DAS CRUZES	SP	11	NULL	AVENIDA
0	BENEDITO ESTELITA MELLO PROF EM	MOGI DAS CRUZES	MUNICIPAL		ROGERIO TACOLA 	300	JARDIM ARMENIA	8780720	47257110	47268039		MOGI DAS CRUZES			MOGI DAS CRUZES	SP	11	NULL	RUA
0	LUIZ APARECIDO GIACOMAZZI CRECHE MUNICIPAL	ADAMANTINA	MUNICIPAL		RUA ENGENHEIRO PEDRO DE CAMARGO	1772	CENTRO	17990000	38761415	NULL		PAULICEIA			PAULICEIA	SP	18	NULL	AVENIDA
0	TOM JOBIM EMEB	DIADEMA	MUNICIPAL		AVENIDA DOM JOAO VI	926	TABOAO	9940150	NULL	NULL		DIADEMA			DIADEMA	SP	  	EMEB.TOMJOBIM@DIADEMA.SP.GOV.BR	AVENIDA
0	DAYSE LINEY MALAVAZZI PROFA CEMEI	FERNANDOPOLIS	MUNICIPAL		RUA JACOB DE ANGELIS GAETI	313	JARDIM IPANEMA	15600000	34634333	NULL		FERNANDOPOLIS			FERNANDOPOLIS	SP	17	CEMEIDAYSE@GMAIL.COM	RUA
0	AURELIO BUARQUE DE HOLANDA FERREIRA EMEB	DIADEMA	MUNICIPAL		MEM DE SA 	206	CASA GRANDE	9961170	NULL	NULL		DIADEMA			DIADEMA	SP	NULL	EMEB.AURELIOBUARQUE@DIADEMA.SP.GOV.BR	RUA
0	ALICE ROSSITO CERVONI PROFA EMEF	SAO CARLOS	MUNICIPAL		RUA JOAO FABIANO	274	JARDIM ENCANTO DO PLANALTO	14815000	33436001	NULL		IBATE			IBATE	SP	16	ALICEIBATE2@GMAIL.COM	AVENIDA
0	MARIA CONSUELO BRANDAO TOLENTINO CEMEI	SAO CARLOS	MUNICIPAL		RUA REINALDO PIZANI	400	ANTENOR GARCIA	13573140	33663626	33750579		SAO CARLOS			SAO CARLOS	SP	16	CEMEI.MARIA.CONSUELO@GMAIL.COM	AVENIDA
0	CREUZA APARECIDA DE LIMA PINHO PROFA EMEB	DIADEMA	MUNICIPAL		ALBATROZ 	237	CAMPANARIO	9931520	NULL	NULL		DIADEMA			DIADEMA	SP	NULL	EMEB.CREUZAPINHO@DIADEMA.SP.GOV.BR	RUA
0	WALTER BLANCO CEMEI	SAO CARLOS	MUNICIPAL		RUA FRANCISCO GENTIL DE GUZZI	135	PARQUE SANTA FELICIA JARDIM	13563360	33070551	33729404		SAO CARLOS			SAO CARLOS	SP	16	CEMEI.WALTER.BLANCO@GMAIL.COM	RUA
0	EVANDRO CAIAFFA ESQUIVEL PROFESSOR EMEB	DIADEMA	MUNICIPAL		PROCOPIO FERREIRA 	17	CENTRO	9911060	NULL	NULL		DIADEMA			DIADEMA	SP	NULL	EMEB.EVANDROESQUIVEL@DIADEMA.SP.GOV.BR	RUA
0	AMELIA MEIRELLES BOTTA PROFA CEMEI	SAO CARLOS	MUNICIPAL		RUA PROFESSOR PEREICLES SOARES	160	LOTEAMENTO MUNICIPAL SAO CARLOS	13563250	33070467	33074454		SAO CARLOS			SAO CARLOS	SP	16	CEMEI.AMELIA.BOTTA@GMAIL.COM	RUA
0	ZELIA MARIA ZANETTI PROFESSORA EMEB	SAO JOAO DA BOA VISTA	MUNICIPAL		RUA RODRIGO FERNANDES DA SILVA	664	VILA VERDE	13720000	36827843	36827849		SAO JOSE DO RIO PARDO			SAO JOSE DO RIO PARDO	SP	19	ZELIAZANETTI@SAOJOSEDORIOPARDO.SP.GOV.BR	AVENIDA
0	OSCAR CHAVES REVERENDO EMEIEF	SANTO ANDRE	MUNICIPAL		CARIJOS 	2286	VILA LINDA	9180001	33568021	NULL		SANTO ANDRE			SANTO ANDRE	SP	11	VLINDA@SANTOANDRE.SP.GOV.BR	RUA
0	SONIA APARECIDA MARQUES PROFA EMEIEF 	SANTO ANDRE	MUNICIPAL		HERMINIA LOPES LOBO 	220	VILA PALMARES	9061520	33568033	NULL		SANTO ANDRE			SANTO ANDRE	SP	11	VPALMARES@SANTOANDRE.SP.GOV.BR	RUA
0	HOMERO THON EMEIEF	SANTO ANDRE	MUNICIPAL		TIBIRICA 	555	VILA HOMERO THON	9111090	33567945	NULL		SANTO ANDRE			SANTO ANDRE	SP	11	HOMEROTHON@SANTOANDRE.SP.GOV.BR	AVENIDA
0	FERNANDO GODAT PADRE EMEIEF	SANTO ANDRE	MUNICIPAL		VOTUPORANGA 	20	VILA DORA	9030590	33567985	NULL		SANTO ANDRE			SANTO ANDRE	SP	11	VDORA@SANTOANDRE.SP.GOV.BR	RUA
0	THEREZINHA MONTEIRO DE BARROS NOSE PROFA EMEIEF	SANTO ANDRE	MUNICIPAL		JOAO FERNANDES 	SN	JARDIM	9090740	33568041	NULL		SANTO ANDRE			SANTO ANDRE	SP	11	VALPINA@SANTOANDRE.SP.GOV.BR	RUA
0	CARLOS DRUMMOND DE ANDRADE EMEIEF	SANTO ANDRE	MUNICIPAL		HATSUEY MOTOMURA 	SN	SILVEIRA	9110080	33567909	NULL		SANTO ANDRE			SANTO ANDRE	SP	11	VPIRES@SANTOANDRE.SP.GOV.BR	RUA
0	TARSILA DO AMARAL EMEIEF	SANTO ANDRE	MUNICIPAL		ANGATUBA 	230	VILA SAO PEDRO	9210250	33568037	NULL		SANTO ANDRE			SANTO ANDRE	SP	11	TAMARAL@SANTOANDRE.SP.GOV.BR	RUA
0	CRIANCAS DE COTIA II EM	CARAPICUIBA	MUNICIPAL		VICENTE STRIFEZZI 	369	PARQUE MIGUEL MIRIZOLA	6704205	47034504	NULL		COTIA			COTIA	SP	11	EMCRIANCASDECOTIA2@COTIA.SP.GOV.BR	RUA
0	PAULO FREIRE EMEF 	ANDRADINA	MUNICIPAL		RUA 21	310	JARDIM AEROPORTO	15385000	37424380	37424381		ILHA SOLTEIRA			ILHA SOLTEIRA	SP	18	EMEFPAULOFREIREJA@HOTMAIL.COM	AVENIDA
0	ALICE MENEZES ALVES CRECHE MUNICIPAL	PIRAJU	MUNICIPAL		RUA RIO GRANDE DO SUL	787	CENTRO	18780000	33561395	NULL		MANDURI			MANDURI	SP	14	NULL	RUA
0	CARLOS GOMES EMEB	SAO BERNARDO DO CAMPO	MUNICIPAL		CASA 	3661	DOS CASA	9840000	41098376	43527052		SAO BERNARDO DO CAMPO			SAO BERNARDO DO CAMPO	SP	11	CARLOS.GOMES@SAOBERNARDO.SP.GOV.BR	ESTRADA
0	ALUISIO DE AZEVEDO EMEB	SAO BERNARDO DO CAMPO	MUNICIPAL		CABRAL DA CAMARA 	57	PLANALTO	9895200	43391651	43414511		SAO BERNARDO DO CAMPO			SAO BERNARDO DO CAMPO	SP	11	ALUISIO.AZEVEDO@SAOBERNARDO.SP.GOV.BR	RUA
0	THALES DE ANDRADE EMEB	SAO BERNARDO DO CAMPO	MUNICIPAL		AUSTRALIA 	80	INDEPENDENCIA	9861390	43434006	43436354		SAO BERNARDO DO CAMPO			SAO BERNARDO DO CAMPO	SP	11	THALES.ANDRADE@SAOBERNARDO.SP.GOV.BR	RUA
0	JOSE DE ALENCAR EMEB	SAO BERNARDO DO CAMPO	MUNICIPAL		RUA BENEDETTO MARSON	17	VILA MARCHI 	9810350	43511899	43524099		SAO BERNARDO DO CAMPO			SAO BERNARDO DO CAMPO	SP	11	JOSE.ALENCAR@SAOBERNARDO.SP.GOV.BR	RUA
0	COELHO NETO EMEB	SAO BERNARDO DO CAMPO	MUNICIPAL		JOAQUIM GONCALVES LEDO 	150	INDEPENDENCIA	9862380	43438383	NULL		SAO BERNARDO DO CAMPO			SAO BERNARDO DO CAMPO	SP	11	COELHO.NETO@SAOBERNARDO.SP.GOV.BR	AVENIDA
0	LOURENCO FILHO EMEB	SAO BERNARDO DO CAMPO	MUNICIPAL		EUNICE WEAVER 	70	PLANALTO	9890080	43416722	NULL		SAO BERNARDO DO CAMPO			SAO BERNARDO DO CAMPO	SP	11	LOURENCO.FILHO@SAOBERNARDO.SP.GOV.BR	RUA
0	JOSE DE ANCHIETA EMEB	SAO BERNARDO DO CAMPO	MUNICIPAL		GUADALAJARA 	510	ASSUNCAO	9812500	41093794	43525015		SAO BERNARDO DO CAMPO			SAO BERNARDO DO CAMPO	SP	11	JOSE.ANCHIETA@SAOBERNARDO.SP.GOV.BR	RUA
0	GRACILIANO RAMOS EMEB	SAO BERNARDO DO CAMPO	MUNICIPAL		JOAO D'ANGELO 	71	RIO GRANDE	9830350	41016090	41018217		SAO BERNARDO DO CAMPO			SAO BERNARDO DO CAMPO	SP	11	GRACILIANO.RAMOS@SAOBERNARDO.SP.GOV.BR	RUA
0	CASSIANO RICARDO EMEB	SAO BERNARDO DO CAMPO	MUNICIPAL		MOINHO FABRINI 	680	INDEPENDENCIA	9862000	43435952	43986545		SAO BERNARDO DO CAMPO			SAO BERNARDO DO CAMPO	SP	11	CASSIANO.RICARDO@SAOBERNARDO.SP.GOV.BR	AVENIDA
0	MANUEL DA NOBREGA PADRE EMEB	SAO BERNARDO DO CAMPO	MUNICIPAL		ANCHIETA PADRE	834	JORDANOPOLIS	9891420	41780985	43612201		SAO BERNARDO DO CAMPO			SAO BERNARDO DO CAMPO	SP	11	MANUEL.NOBREGA@SAOBERNARDO.SP.GOV.BR	AVENIDA
0	GUILHERME DE ALMEIDA EMEB	SAO BERNARDO DO CAMPO	MUNICIPAL		IGINO FRANCISCO TEIXEIRA PADRE	90	ASSUNCAO	9810160	43516716	NULL		SAO BERNARDO DO CAMPO			SAO BERNARDO DO CAMPO	SP	11	GUILHERME.ALMEIDA@SAOBERNARDO.SP.GOV.BR	RUA
0	CAETANO DE CAMPOS EMEB	SAO BERNARDO DO CAMPO	MUNICIPAL		MIRAGAIA 	848	PAULICEIA	9689100	41784858	43610976		SAO BERNARDO DO CAMPO			SAO BERNARDO DO CAMPO	SP	11	CAETANO.CAMPOS@SAOBERNARDO.SP.GOV.BR	RUA
0	PEDRO MORASSI EMEB	SAO BERNARDO DO CAMPO	MUNICIPAL		ANDREA DEMARCHI 	145	DEMARCHI	9820420	43476907	43477222		SAO BERNARDO DO CAMPO			SAO BERNARDO DO CAMPO	SP	11	PEDRO.MORASSI@SAOBERNARDO.SP.GOV.BR	RUA
0	GONCALVES DIAS EMEB	SAO BERNARDO DO CAMPO	MUNICIPAL		GRA-BRETANHA 	250	TABOAO	9667030	41783576	43631887		SAO BERNARDO DO CAMPO			SAO BERNARDO DO CAMPO	SP	11	GONCALVES.DIAS@SAOBERNARDO.SP.GOV.BR	RUA
0	VICENTE DE CARVALHO EMEB	SAO BERNARDO DO CAMPO	MUNICIPAL		XAVIER DE TOLEDO 	481	PAULICEIA	9692030	41787433	NULL		SAO BERNARDO DO CAMPO			SAO BERNARDO DO CAMPO	SP	11	VICENTE.CARVALHO@SAOBERNARDO.SP.GOV.BR	RUA
0	PASCHOAL CARLOS MAGNO EMEB	SAO BERNARDO DO CAMPO	MUNICIPAL		NIGERIA 	50	TABOAO	9671040	41782502	43610047		SAO BERNARDO DO CAMPO			SAO BERNARDO DO CAMPO	SP	11	PASCHOAL.CMAGNO@SAOBERNARDO.SP.GOV.BR	RUA
0	HEITOR VILLA LOBOS EMEB	SAO BERNARDO DO CAMPO	MUNICIPAL		MATEOS DEMARCHI 	229	DEMARCHI	9820270	43479922	43964077		SAO BERNARDO DO CAMPO			SAO BERNARDO DO CAMPO	SP	11	HEITOR.VILLALOBOS@SAOBERNARDO.SP.GOV.BR	RUA
0	MARIO DE ANDRADE EMEB	SAO BERNARDO DO CAMPO	MUNICIPAL		TIJUCA 	263	ANCHIETA	9607155	41771428	41772861		SAO BERNARDO DO CAMPO			SAO BERNARDO DO CAMPO	SP	11	MARIO.ANDRADE@SAOBERNARDO.SP.GOV.BR	RUA
0	VINICIUS DE MORAES EMEB	SAO BERNARDO DO CAMPO	MUNICIPAL		RUA NUNCIO INTERLICH	30	VILA SANTA TEREZINHA	9770250	41275355	43386968		SAO BERNARDO DO CAMPO			SAO BERNARDO DO CAMPO	SP	11	VINICIUS.MORAIS@SAOBERNARDO.SP.GOV.BR	RUA
0	OLAVO BILAC EMEB	SAO BERNARDO DO CAMPO	MUNICIPAL		CARLOS DE CAMPOS DOUTOR	5	RUDGE RAMOS	9619000	43623576	43682369		SAO BERNARDO DO CAMPO			SAO BERNARDO DO CAMPO	SP	11	OLAVO.BILAC@SAOBERNARDO.SP.GOV.BR	AVENIDA
0	DI CAVALCANTI EMEB	SAO BERNARDO DO CAMPO	MUNICIPAL		FERNANDO FERRARI 	401	FERRAZOPOLIS	9790110	41270678	NULL		SAO BERNARDO DO CAMPO			SAO BERNARDO DO CAMPO	SP	11	DI.CAVALCANTI@SAOBERNARDO.SP.GOV.BR	AVENIDA
0	CASTRO ALVES EMEB	SAO BERNARDO DO CAMPO	MUNICIPAL		LUIZ FERREIRA DA SILVA 	272	ANCHIETA	9732340	41225666	NULL		SAO BERNARDO DO CAMPO			SAO BERNARDO DO CAMPO	SP	11	CASTRO.ALVES@SAOBERNARDO.SP.GOV.BR	RUA
0	RUI BARBOSA EMEB	SAO BERNARDO DO CAMPO	MUNICIPAL		BRAGA 	20	VILA LUSITANIA	9725160	41252583	41255222		SAO BERNARDO DO CAMPO			SAO BERNARDO DO CAMPO	SP	11	RUI.BARBOSA@SAOBERNARDO.SP.GOV.BR	RUA
0	LEONARDO NUNES PADRE EMEB	SAO BERNARDO DO CAMPO	MUNICIPAL		FLAQUER SENADOR	232	CENTRO	9725440	41254747	41256610		SAO BERNARDO DO CAMPO			SAO BERNARDO DO CAMPO	SP	11	LEONARDO.NUNES@SAOBERNARDO.SP.GOV.BR	AVENIDA
